date,1. open,2. high,3. low,4. close,5. volume
2023-01-27 20:00:00,134.44,134.51,134.44,134.5,863.0
2023-01-27 19:45:00,134.5,134.51,134.5,134.51,401.0
2023-01-27 19:30:00,134.44,134.44,134.44,134.44,100.0
2023-01-27 19:15:00,134.41,134.41,134.41,134.41,100.0
2023-01-27 18:45:00,134.4,134.4,134.4,134.4,304.0
2023-01-27 18:00:00,134.45,134.45,134.45,134.45,253.0
2023-01-27 17:45:00,134.45,134.47,134.45,134.45,905.0
2023-01-27 17:30:00,134.51,134.51,134.51,134.51,144.0
2023-01-27 17:00:00,134.5,134.66,134.5,134.66,5537.0
2023-01-27 16:45:00,134.5,134.5,134.5,134.5,2389.0
2023-01-27 16:30:00,134.39,134.61,134.39,134.5,1844.0
2023-01-27 16:15:00,134.39,134.71,134.38,134.7,107951.0
2023-01-27 16:00:00,134.805,134.805,134.305,134.38,720812.0
2023-01-27 15:45:00,135.03,135.1215,134.77,134.8,286253.0
2023-01-27 15:30:00,135.03,135.07,134.831,135.021,219598.0
2023-01-27 15:15:00,135.04,135.19,135.02,135.025,139628.0
2023-01-27 15:00:00,134.935,135.1127,134.9,135.03,128399.0
2023-01-27 14:45:00,135.1,135.175,134.9,134.935,141786.0
2023-01-27 14:30:00,135.22,135.26,135.0401,135.11,120467.0
2023-01-27 14:15:00,135.15,135.33,135.0935,135.23,183149.0
2023-01-27 14:00:00,135.25,135.275,135.1,135.1501,113302.0
2023-01-27 13:45:00,135.13,135.335,135.08,135.26,114971.0
2023-01-27 13:30:00,135.1207,135.3312,135.03,135.15,129407.0
2023-01-27 13:15:00,135.36,135.43,135.08,135.12,160046.0
2023-01-27 13:00:00,134.895,135.488,134.86,135.38,273591.0
2023-01-27 12:45:00,134.64,134.95,134.61,134.915,93393.0
2023-01-27 12:30:00,134.57,134.89,134.5501,134.65,172035.0
2023-01-27 12:15:00,134.535,134.62,134.26,134.58,177288.0
2023-01-27 12:00:00,134.59,134.61,134.5,134.55,205829.0
2023-01-27 11:45:00,134.15,134.75,134.15,134.59,186040.0
2023-01-27 11:30:00,134.055,134.24,133.975,134.15,105423.0
2023-01-27 11:15:00,134.35,134.51,133.96,134.0581,157920.0
2023-01-27 11:00:00,133.88,134.41,133.7701,134.375,264092.0
2023-01-27 10:45:00,134.19,134.3,133.8795,133.88,383050.0
2023-01-27 10:30:00,134.62,134.82,134.17,134.1899,732404.0
2023-01-27 10:15:00,134.55,135.0,134.26,134.61,520493.0
2023-01-27 10:00:00,134.87,135.18,134.51,134.565,771064.0
2023-01-27 09:45:00,134.44,134.92,133.98,134.87,543705.0
